      1305   0.1880  -0.0040   0.0057   0.0057
      1335   0.1960  -0.0040   0.0040   0.0040
      1335   0.1960  -0.0040   0.0057   0.0057
      1365   0.2046  -0.0040   0.0041   0.0041
      1365   0.2046  -0.0040   0.0052   0.0052
      1395   0.2147  -0.0040   0.0048   0.0048
      1395   0.2147  -0.0040   0.0042   0.0042
      1395   0.2147  -0.0040   0.0067   0.0067
      1425   0.2260  -0.0040   0.0045   0.0045
      1425   0.2260  -0.0040   0.0045   0.0045
      1425   0.2260  -0.0040   0.0072   0.0072
      1455   0.2387  -0.0040   0.0048   0.0048
      1455   0.2387  -0.0040   0.0042   0.0042
      1455   0.2387  -0.0040   0.0067   0.0067
      1485   0.2526  -0.0040   0.0061   0.0061
      1485   0.2526  -0.0040   0.0041   0.0041
      1485   0.2526  -0.0040   0.0052   0.0052
      1485   0.2526  -0.0040   0.0084   0.0084
      1515   0.2680  -0.0040   0.0057   0.0057
      1515   0.2680  -0.0040   0.0040   0.0040
      1515   0.2680  -0.0040   0.0057   0.0057
      1545   0.2840  -0.0040   0.0089   0.0089
      1545   0.2840  -0.0040   0.0057   0.0057
      1545   0.2840  -0.0040   0.0040   0.0040
      1545   0.2840  -0.0040   0.0057   0.0057
      1545   0.2840  -0.0040   0.0089   0.0089
      1575   0.3000  -0.0040   0.0057   0.0057
      1575   0.3000  -0.0040   0.0040   0.0040
      1575   0.3000  -0.0040   0.0057   0.0057
      1575   0.3000  -0.0040   0.0089   0.0089
      1605   0.3160  -0.0040   0.0057   0.0057
      1605   0.3160  -0.0040   0.0040   0.0040
      1605   0.3160  -0.0040   0.0057   0.0057
      1605   0.3160  -0.0040   0.0089   0.0089
      1635   0.3320  -0.0040   0.0057   0.0057
      1635   0.3320  -0.0040   0.0040   0.0040
      1635   0.3320  -0.0040   0.0057   0.0057
      1665   0.3480  -0.0040   0.0089   0.0089
      1665   0.3480  -0.0040   0.0057   0.0057
      1665   0.3480  -0.0040   0.0040   0.0040
      1665   0.3480  -0.0040   0.0057   0.0057
      1665   0.3480  -0.0040   0.0089   0.0089
      1695   0.3640  -0.0040   0.0057   0.0057
      1695   0.3640  -0.0040   0.0040   0.0040
      1695   0.3640  -0.0040   0.0057   0.0057
      1695   0.3640  -0.0040   0.0089   0.0089
      1725   0.3800  -0.0040   0.0057   0.0057
      1725   0.3800  -0.0040   0.0040   0.0040
      1725   0.3800  -0.0040   0.0057   0.0057
      1725   0.3800  -0.0040   0.0089   0.0089
      1755   0.3960  -0.0040   0.0057   0.0057
      1755   0.3960  -0.0040   0.0040   0.0040
      1755   0.3960  -0.0040   0.0057   0.0057
      1785   0.4120  -0.0040   0.0089   0.0089
      1785   0.4120  -0.0040   0.0057   0.0057
      1785   0.4120  -0.0040   0.0040   0.0040
      1785   0.4120  -0.0040   0.0057   0.0057
      1785   0.4120  -0.0040   0.0089   0.0089
      1815   0.4280  -0.0040   0.0057   0.0057
      1815   0.4280  -0.0040   0.0040   0.0040
      1815   0.4280  -0.0040   0.0057   0.0057
      1815   0.4280  -0.0040   0.0089   0.0089
      1845   0.4440  -0.0040   0.0057   0.0057
      1845   0.4440  -0.0040   0.0040   0.0040
      1845   0.4440  -0.0040   0.0057   0.0057
      1845   0.4440  -0.0040   0.0089   0.0089
      1875   0.4600  -0.0040   0.0057   0.0057
      1875   0.4600  -0.0040   0.0040   0.0040
      1875   0.4600  -0.0040   0.0057   0.0057
      1905   0.4760  -0.0040   0.0089   0.0089
      1905   0.4760  -0.0040   0.0057   0.0057
